User Location,Unnamed: 0,Unnamed: 0.1,Datetime,Tweet Id,Text,Username,Reply Count,Retweet Count,Like Count,Quote Count
Commissions Open ➞,1,1,1,1,1,1,1,1,1,1
"Concord, NH",1,1,1,1,1,1,1,1,1,1
Connecticut,2,2,2,2,2,2,2,2,2,2
"Connecticut, USA",2,2,2,2,2,2,2,2,2,2
"Container ship, Long Island",1,1,1,1,1,1,1,1,1,1
"Converse, TX",1,1,1,1,1,1,1,1,1,1
"Cookeville, TN",1,1,1,1,1,1,1,1,1,1
"Corona, CA",2,2,2,2,2,2,2,2,2,2
Cosmopolitan,1,1,1,1,1,1,1,1,1,1
Coventry UK,1,1,1,1,1,1,1,1,1,1
Crestview Florida...gulf coast,2,2,2,2,2,2,2,2,2,2
Cusco Peru ,1,1,1,1,1,1,1,1,1,1
D.C.,1,1,1,1,1,1,1,1,1,1
DC,1,1,1,1,1,1,1,1,1,1
DC & Chicago,1,1,1,1,1,1,1,1,1,1
DE,1,1,1,1,1,1,1,1,1,1
DFW Texas,1,1,1,1,1,1,1,1,1,1
DM04,1,1,1,1,1,1,1,1,1,1
DMV,1,1,1,1,1,1,1,1,1,1
DMV➡️NM➡️DMV➡️ATX,1,1,1,1,1,1,1,1,1,1
DTX,2,2,2,2,2,2,2,2,2,2
Da Sip 🤠,1,1,1,1,1,1,1,1,1,1
Dallas Texas,1,1,1,1,1,1,1,1,1,1
Dallas area,1,1,1,1,1,1,1,1,1,1
Dallas by way of Mississippi,1,1,1,1,1,1,1,1,1,1
"Dallas, TX",6,6,6,6,6,6,6,6,6,6
Dallas/Ft Worth,1,1,1,1,1,1,1,1,1,1
"Davis, CA",1,1,1,1,1,1,1,1,1,1
"Davis, California, USA",1,1,1,1,1,1,1,1,1,1
"Dayton, Ohio",1,1,1,1,1,1,1,1,1,1
"Daytona Beach, FL",1,1,1,1,1,1,1,1,1,1
Debatable,1,1,1,1,1,1,1,1,1,1
