,Unnamed: 0,Unnamed: 0.1,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count,Date,compound,Month,Clean Tweet,locat,lat,long
0,2,2,1384846032329138176,Anyone with mobile video of the #jacksonwatercrisis please reach out to mignonn@cbsnews.com.,nicolahann,"New York, NY",0,0,0,0,2021-04-21,0.34,4,anyone with mobile video of the jacksonwatercrisis please reach out to mignonn cbsnews com ,"New York, NY",40.7127281,-74.0060152
1,20,20,1372161919440814082,Well water boil water notice was lifted here in Jackson after almost a month... but some businesses still closed because of it! Surface water still has boil water notice. #JacksonWaterCrisis https://t.co/Red6rCOwXS,Ginger_Zee,"New York, NY",4,9,39,0,2021-03-17,0.2124,3,well water boil water notice was lifted here in jackson after almost a month but some businesses still closed because of it surface water still has boil water notice jacksonwatercrisis ,"New York, NY",40.7127281,-74.0060152
2,43,43,1368214845632430080,"While Jackson residents and organizers say they understand the historical nature of the water system's disrepair, city and other Mississippi government leaders also need to plan ahead to prevent this from ever happening again. #JacksonWaterCrisis

https://t.co/6LGNBhlIxt",newsone,"New York, NY",1,4,12,0,2021-03-06,0.0258,3,while jackson residents and organizers say they understand the historical nature of the water system s disrepair city and other mississippi government leaders also need to plan ahead to prevent this from ever happening again jacksonwatercrisis ,"New York, NY",40.7127281,-74.0060152
3,81,81,1367180474838380553,"While Jackson residents and organizers say they understand the historical nature of the water system's disrepair, city and other Mississippi government leaders also need to plan ahead to prevent this from ever happening again. #JacksonWaterCrisis

https://t.co/cJ8MI8OJYC",newsone,"New York, NY",0,1,5,0,2021-03-03,0.0258,3,while jackson residents and organizers say they understand the historical nature of the water system s disrepair city and other mississippi government leaders also need to plan ahead to prevent this from ever happening again jacksonwatercrisis ,"New York, NY",40.7127281,-74.0060152
4,149,149,1365950811092705281,"#JacksonWaterCrisis
@jaketapper @andersoncooper 
@maddow 
@donlemon 
@Lawrence https://t.co/6ABWPW0Zid",00Lilac_Sky00,"New York, NY",0,0,0,0,2021-02-28,0.0,2, jacksonwatercrisis jaketapper andersoncooper maddow donlemon lawrence ,"New York, NY",40.7127281,-74.0060152
5,32,32,1369051735864438786,"This week on the @VisuNewsUSA podcast I chat with @smartstatistic about the water crisis in #Jackson Mississippi and much more. 

While it's fallen out of a lot of the news there's a longer-term crisis in many cities in the South right now.

#JxnNeedsWater
https://t.co/Rz4bjQnkfg",zdroberts,"New York, NY",0,5,4,0,2021-03-08,-0.8993,3,this week on the visunewsusa podcast i chat with smartstatistic about the water crisis in jackson mississippi and much more while it s fallen out of a lot of the news there s a longer term crisis in many cities in the south right now jxnneedswater ,"New York, NY",40.7127281,-74.0060152
6,155,155,1366447608655446017,#JxnNeedsWater,nycforabortion,"New York, NY",0,0,0,0,2021-03-01,0.0,3, jxnneedswater,"New York, NY",40.7127281,-74.0060152
7,13,13,1374100291407249418,"Right now residents of Jackson, MS have been without water for weeks, and many Detroit, MI residents have lacked clean water for years. But the problem of water access and affordability goes back decades, and communities of color disproportionately suffer. https://t.co/V4OpC5iJgf",TMI_LDF,"New York, NY",1,4,7,0,2021-03-22,-0.8151,3,right now residents of jackson ms have been without water for weeks and many detroit mi residents have lacked clean water for years but the problem of water access and affordability goes back decades and communities of color disproportionately suffer ,"New York, NY",40.7127281,-74.0060152
8,14,14,1374088474484150286,@HowardA_Esq You’re correct. You know how often I vent. Nothing about the mess in Texas as it never happened or Jackson MS and it’s water problems.  In fairness to a Rachael she does better then most at covering  many you addressed.,Bob2A1959NYC,"New York, NY",0,0,0,0,2021-03-22,0.3204,3, howarda esq you re correct you know how often i vent nothing about the mess in texas as it never happened or jackson ms and it s water problems in fairness to a rachael she does better then most at covering many you addressed ,"New York, NY",40.7127281,-74.0060152
9,67,67,1385683191650938881,"Jackson, Mississippi Suffers Water Crisis As Aging Water Infrastructure ... https://t.co/VYixTyDSHl via @YouTube",OnlyWhiteTiger,"New York, NY",0,1,2,0,2021-04-23,-0.802,4,jackson mississippi suffers water crisis as aging water infrastructure via youtube,"New York, NY",40.7127281,-74.0060152
